epoch,train_mse,test_mse
0,0.156874,0.156604
200,0.150355,0.148828
400,0.145176,0.143428
600,0.053252,0.045109
800,0.046274,0.035482
1000,0.045639,0.034686
1200,0.045299,0.034418
1400,0.045025,0.034244
1600,0.044712,0.034056
1800,0.044212,0.033734
2000,0.043268,0.033101
2200,0.041532,0.032006
2400,0.038902,0.030531
2600,0.035666,0.0288
2800,0.032018,0.026611
3000,0.028159,0.024114
3200,0.025021,0.021951
3400,0.022923,0.020384
3600,0.021572,0.019372
3800,0.020612,0.01862
4000,0.019796,0.017911
4200,0.019024,0.017204
4400,0.018292,0.016531
4600,0.01763,0.015929
4800,0.017067,0.015433
5000,0.016607,0.01505
5200,0.016223,0.014754
5400,0.015857,0.014494
5600,0.015335,0.014115
5800,0.014718,0.013637
6000,0.014061,0.01309
6200,0.013529,0.012618
6400,0.013093,0.012245
6600,0.012745,0.011968
6800,0.012473,0.011773
7000,0.012252,0.011635
7200,0.01206,0.011527
7400,0.011882,0.011436
7600,0.011714,0.011358
7800,0.011552,0.011287
8000,0.011394,0.011223
8200,0.011241,0.011163
8400,0.01109,0.011107
8600,0.010938,0.011057
8800,0.010784,0.01101
9000,0.010624,0.010971
9200,0.010455,0.010946
9400,0.010274,0.01094
9600,0.01008,0.010965
9800,0.009876,0.011028
